id,bo,chu_de,muc_do,diem,o_day,cach_khac,pho_bien_o,he_qua,nguon,ghi_chu
batdong-001,12-dia-chi,Con giáp,tên gọi,Con vật ứng với chi Mão,Mèo,Thỏ,Trung Quốc và phần lớn các nước Đông Á dùng Thỏ; Việt Nam dùng Mèo,"Cùng một năm Mão, bảng Việt và bảng Trung ghi hai con vật khác nhau. Không phải lỗi của bên nào, là hai truyền thống khác nhau.","Nhật Nguyệt, rút từ ghi chú của chính bộ 12-dia-chi",
batdong-002,12-dia-chi,Khung giờ,quy ước,Giờ Tý bắt đầu lúc mấy giờ,23 giờ hôm trước tới 1 giờ hôm sau,0 giờ tới 2 giờ,Một số bản lịch cũ đặt giờ Tý từ 0 giờ,"Việc sinh trong khoảng 23 giờ tới nửa đêm rơi vào hai giờ khác nhau, và khi ấy cả trụ giờ của lá số đổi theo.","Nhật Nguyệt, rút từ ghi chú của chính bộ 12-dia-chi",
batdong-003,22-an-chinh-tarot,Tarot,trường phái,Số thứ tự của lá Sức Mạnh và lá Công Lý,Theo hệ Rider-Waite-Smith,Hệ Marseille đổi chỗ hai lá này cho nhau,Rider-Waite-Smith phổ biến nhất ở Việt Nam; Marseille phổ biến ở Pháp và châu Âu lục địa,"Rút cùng một lá rồi đối chiếu với sách không cùng hệ thì số thứ tự đã lệch, và phần diễn giải lệch theo.","Nhật Nguyệt, rút từ ghi chú của chính bộ 22-an-chinh-tarot",
batdong-004,64-que-kinh-dich,Kinh Dịch,trường phái,Thứ tự đánh số 64 quẻ,"Thứ tự Chu Dịch, còn gọi là King Wen","Thứ tự Phục Hy, còn gọi là Tiên Thiên, đánh số khác hẳn",Chu Dịch là thứ tự phổ biến nhất trong sách và phần mềm,"Đối chiếu số quẻ với một nguồn dùng thứ tự kia thì ra quẻ khác, nên phải xem nguồn ấy dùng thứ tự nào trước khi so.","Nhật Nguyệt, rút từ ghi chú của chính bộ 64-que-kinh-dich",
batdong-005,chu-sang-so-than-so-hoc,Thần số học,trường phái,Bảng quy chữ sang số,"Có cả hai: Pythagoras gán 1 tới 9 theo thứ tự bảng chữ cái, Chaldean gán theo giá trị cổ",Chaldean KHÔNG dùng số 9 vì coi số ấy là thiêng,Thần số học Việt Nam gần như chỉ dùng Pythagoras,"Hai hệ cho hai con số khác nhau cho cùng một cái tên, và chênh lệch ấy là thật chứ không phải lỗi tính.","Nhật Nguyệt, rút từ ghi chú của chính bộ chu-sang-so-than-so-hoc",
batdong-006,chu-sang-so-than-so-hoc,Thần số học,quy ước,Chữ Đ quy về đâu,Quy Đ về D,Quy Đ về DD,Vài công cụ tiếng Việt quy về DD,Tên có chữ Đ ra con số lệch hẳn giữa hai cách.,"Nhật Nguyệt, rút từ ghi chú của chính bộ chu-sang-so-than-so-hoc",
batdong-007,chu-sang-so-than-so-hoc,Thần số học,quy ước,Chữ Y là nguyên âm hay phụ âm,Xếp Y là phụ âm,Coi Y là nguyên âm khi đứng giữa hai phụ âm,Vài phái dùng cách sau,"Đổi cả số Linh Hồn lẫn số Nhân Cách, nhưng KHÔNG đổi số Sứ Mệnh.","Nhật Nguyệt, rút từ ghi chú của chính bộ chu-sang-so-than-so-hoc",
batdong-008,hoa-giap-ghep-cheo,Xem tuổi,trường phái,Xét quan hệ ngũ hành của hai tuổi theo cái gì,Theo NẠP ÂM của mỗi hoa giáp,Theo hành của thiên can hoặc địa chi,Phần lớn thầy xem tuổi ở Việt Nam xét theo nạp âm,"Cùng một cặp tuổi, hai cách cho hai kết luận hợp khắc khác nhau.","Nhật Nguyệt, rút từ ghi chú của chính bộ hoa-giap-ghep-cheo",
batdong-009,cung-phi-bat-trach,Phong thuỷ,trường phái,Phương pháp luận hướng nhà,"Bát Trạch, dựa trên cung phi cá nhân",Huyền Không Phi Tinh và loan đầu,Cả ba đều đang được dùng ở Việt Nam,Ba phương pháp cho kết quả khác nhau cho cùng một ngôi nhà; Bát Trạch không phải phương pháp duy nhất.,"Nhật Nguyệt, rút từ ghi chú của chính bộ cung-phi-bat-trach",
batdong-010,cung-phi-bat-trach,Phong thuỷ,quy ước,Năm sinh dùng để tra là năm dương hay năm âm,Dùng năm sinh DƯƠNG lịch làm xấp xỉ,Đổi sang năm âm lịch trước khi tra,Cách sau chính xác hơn với người sinh sát Tết,Người sinh sát Tết có thể lệch một cung phi giữa hai cách.,"Nhật Nguyệt, rút từ ghi chú của chính bộ cung-phi-bat-trach",
