id,so,ten_vi,ten_en,tu_khoa_vi,tu_khoa_en,nghia_xuoi,nghia_nguoc,nguon,ghi_chu
major-00-fool,0,Kẻ Khờ,The Fool,khởi đầu; tự do; phiêu lưu,new beginnings; freedom; adventure,"Khởi đầu mới, tự do, dấn thân không toan tính.","Bốc đồng, thiếu chuẩn bị, rủi ro không đáng.",Rider-Waite-Smith,
major-01-magician,1,Pháp Sư,The Magician,ý chí; kỹ năng; hành động,willpower; skill; manifestation,"Ý chí, kỹ năng, biến ý tưởng thành hành động.","Thao túng, tiềm năng chưa dùng đúng cách.",Rider-Waite-Smith,
major-02-high-priestess,2,Nữ Tư Tế,The High Priestess,trực giác; bí ẩn; nội tâm,intuition; mystery; inner knowledge,"Trực giác, bí ẩn, tri thức nội tâm.","Bí mật bị che giấu, mất kết nối trực giác.",Rider-Waite-Smith,
major-03-empress,3,Nữ Hoàng,The Empress,sung túc; nuôi dưỡng; sáng tạo,abundance; nurturing; creativity,"Sung túc, nuôi dưỡng, sáng tạo.","Phụ thuộc quá mức, mất cân bằng.",Rider-Waite-Smith,
major-04-emperor,4,Hoàng Đế,The Emperor,kỷ luật; quyền lực; cấu trúc,authority; structure; discipline,"Kỷ luật, quyền lực, cấu trúc vững chắc.","Cứng nhắc, kiểm soát quá mức.",Rider-Waite-Smith,
major-05-hierophant,5,Giáo Hoàng,The Hierophant,truyền thống; giáo dục; quy chuẩn,tradition; education; conformity,"Truyền thống, giáo dục, quy chuẩn.","Cứng nhắc với quy tắc, nổi loạn.",Rider-Waite-Smith,
major-06-lovers,6,Tình Nhân,The Lovers,kết nối; lựa chọn; hài hoà,connection; choices; harmony,"Kết nối, lựa chọn quan trọng, hài hoà.","Mất cân bằng trong mối quan hệ, lựa chọn sai.",Rider-Waite-Smith,
major-07-chariot,7,Cỗ Xe,The Chariot,quyết tâm; ý chí; chiến thắng,determination; willpower; success,"Quyết tâm, chiến thắng nhờ ý chí.","Mất phương hướng, thiếu kiểm soát.",Rider-Waite-Smith,
major-08-strength,8,Sức Mạnh,Strength,can đảm; kiên nhẫn; trắc ẩn,courage; patience; compassion,"Can đảm nội tâm, kiên nhẫn, lòng trắc ẩn.","Nghi ngờ bản thân, yếu đuối.",Rider-Waite-Smith,
major-09-hermit,9,Ẩn Sĩ,The Hermit,tự vấn; tìm kiếm; cô tịch,introspection; seeking; solitude,"Tự vấn, tìm kiếm sự thật bên trong.","Cô lập quá mức, né tránh.",Rider-Waite-Smith,
major-10-wheel-of-fortune,10,Bánh Xe Số Mệnh,Wheel of Fortune,vận may; chu kỳ; thay đổi,luck; cycles; change,"Vận may thay đổi, chu kỳ mới.","Trở ngại bất ngờ, mất kiểm soát.",Rider-Waite-Smith,
major-11-justice,11,Công Lý,Justice,công bằng; sự thật; nhân quả,fairness; truth; cause and effect,"Công bằng, sự thật, nhân quả rõ ràng.","Bất công, thiếu trách nhiệm.",Rider-Waite-Smith,
major-12-hanged-man,12,Người Treo Ngược,The Hanged Man,tạm dừng; góc nhìn mới; buông bỏ,pause; new perspective; letting go,"Tạm dừng, nhìn nhận lại từ góc khác.","Trì hoãn không cần thiết, chống lại thay đổi.",Rider-Waite-Smith,
major-13-death,13,Tử Thần,Death,kết thúc; chuyển hoá; khởi đầu mới,endings; transformation; new beginnings,Kết thúc để mở ra khởi đầu mới.,"Sợ thay đổi, bám víu quá khứ.",Rider-Waite-Smith,
major-14-temperance,14,Tiết Chế,Temperance,cân bằng; kiên nhẫn; dung hoà,balance; patience; moderation,"Cân bằng, kiên nhẫn, dung hoà.","Mất cân bằng, thái quá.",Rider-Waite-Smith,
major-15-devil,15,Quỷ Dữ,The Devil,ràng buộc; cám dỗ; bóng tối,attachment; temptation; shadow self,"Ràng buộc, cám dỗ, cần nhìn thẳng vào vấn đề.","Giải thoát khỏi ràng buộc, nhận ra sự thật.",Rider-Waite-Smith,
major-16-tower,16,Tháp Sập,The Tower,đột ngột; phá vỡ; tỉnh ngộ,upheaval; breakthrough; revelation,"Thay đổi đột ngột, phá vỡ để xây lại.","Sợ hãi thay đổi, trì hoãn điều tất yếu.",Rider-Waite-Smith,
major-17-star,17,Ngôi Sao,The Star,hy vọng; chữa lành; niềm tin,hope; healing; faith,"Hy vọng, chữa lành, niềm tin vào tương lai.","Mất niềm tin, thất vọng tạm thời.",Rider-Waite-Smith,
major-18-moon,18,Mặt Trăng,The Moon,trực giác; mơ hồ; cảm xúc sâu kín,intuition; uncertainty; hidden emotions,"Trực giác, điều chưa rõ ràng, cảm xúc sâu kín.","Nhầm lẫn, lo âu không cần thiết.",Rider-Waite-Smith,
major-19-sun,19,Mặt Trời,The Sun,niềm vui; thành công; rõ ràng,joy; success; clarity,"Niềm vui, thành công, sự rõ ràng.","Lạc quan thái quá, trì hoãn nhìn nhận vấn đề.",Rider-Waite-Smith,
major-20-judgement,20,Phán Xét,Judgement,thức tỉnh; đánh giá lại; chuộc lỗi,awakening; reflection; second chances,"Thức tỉnh, đánh giá lại, cơ hội chuộc lỗi.","Tự trách quá mức, bỏ lỡ cơ hội thay đổi.",Rider-Waite-Smith,
major-21-world,21,Thế Giới,The World,hoàn thành; viên mãn; khép lại,completion; fulfillment; closure,"Hoàn thành, viên mãn, một chu kỳ khép lại trọn vẹn.","Việc dang dở, chưa trọn vẹn.",Rider-Waite-Smith,
