id,ten,ten_en,loai_ngay,ngay_am,ngay_duong,ngay_nghi_le,nhom,muc_do,ngay_truoc,ngay_sau,lich_cong_bo,mo_ta,nguon,ghi_chu
carnaval-ha-long,Carnaval Hạ Long,Hạ Long Carnival,theo-nam,,,khong,khac,minor,0,0,"2026: 2026-04-30 đến 2026-04-30, chính lễ 2026-04-30, https://baoquangninh.vn/canaval-ha-long-2026-ky-quan-bung-sang-ky-nguyen-moi-khai-mac-toi-30-4-3405666.html","Lễ hội đường phố của Quảng Ninh vào dịp 30/4, gồm đoàn diễu diễn dọc đường Trần Quốc Nghiễn và chương trình nghệ thuật tại Quảng trường 30/10.",bien-tap,
cho-vieng,Chợ Viềng,Viềng Market,lunar,8/1,,khong,khac,minor,1,0,,"Phiên chợ mỗi năm họp một lần, từ đêm mùng 7 tới rạng sáng mùng 8 tháng Giêng, theo tinh thần mua may bán rủi. Người ta mua nông cụ, cây giống, thịt bò lấy lộc đầu năm. Có hai chợ nổi tiếng: Viềng Phủ ở Vụ Bản và Viềng Chùa ở Nam Trực.",bien-tap,
dai-le-hoi-yen-dieu-tri-cung,Đại lễ Hội Yến Diêu Trì Cung,Dieu Tri Palace Banquet (Cao Dai Mid-Autumn Grand Ceremony),lunar,15/8,,khong,tin-nguong,major,0,1,"2026: 2026-09-25 đến 2026-09-26, chính lễ 2026-09-25, https://tuoitre.vn/hang-van-nguoi-ve-toa-thanh-tay-ninh-du-chay-cung-dai-le-hoi-yen-dieu-tri-cung-100260925135231974.htm","Đại lễ lớn của đạo Cao Đài dâng Đức Phật Mẫu vào rằm tháng Tám, có tiệc chay từ năm 1925; năm 2026 dự kiến hơn 300.000 tín đồ và du khách, hơn 150 gian hoa trái của các họ đạo.",bien-tap,
festival-bien-khanh-hoa,Festival Biển Khánh Hòa,Khánh Hòa Sea Festival,theo-nam,,,khong,khac,minor,0,0,"2026: 2026-07-17 đến 2026-07-19, chính lễ 2026-07-17, https://thanhnien.vn/festival-bien-khanh-hoa-2026-dai-tiec-mua-he-ky-vong-thu-hut-800000-du-khach-185260514082220004.htm","Lễ hội biển của tỉnh Khánh Hòa tổ chức tại Nha Trang, có sự tham gia của các bộ, ngành, nhiều tỉnh thành và đối tác quốc tế. Ba ngày chính có lễ khai mạc ở Quảng trường 2 tháng 4, kèm chuỗi hoạt động hưởng ứng kéo dài khoảng một tháng.",bien-tap,
festival-dan-ca-dan-vu-quoc-te,"Festival Dân ca, Dân vũ quốc tế",International Folk Song and Dance Festival 2026 (Dien Bien),theo-nam,,,khong,khac,major,0,0,"2026: 2026-08-28 đến 2026-09-02, chính lễ 2026-08-28, http://vov.vn/van-hoa/cong-bo-festival-dan-ca-dan-vu-quoc-te-nam-2026-tai-tinh-dien-bien-post1317523.vov","Lần đầu Điện Biên đăng cai, chủ đề ""Kết nối văn hóa, lan tỏa hòa bình, vươn tầm hội nhập"", quy tụ đoàn dân ca dân vũ trong nước và quốc tế dịp Quốc khánh.",bien-tap,
festival-du-lich-cua-lo,Festival Du lịch Cửa Lò,Cửa Lò Tourism Festival,theo-nam,,,khong,khac,minor,0,0,"2026: 2026-04-25 đến 2026-04-25, chính lễ 2026-04-25, https://nhandan.vn/khai-mac-festival-du-lich-cua-lo-nam-2026-post958482.html","Sự kiện mở mùa du lịch biển của Nghệ An, do UBND tỉnh chủ trì tại bãi biển Cửa Lò. Sau đêm khai mạc là chuỗi hoạt động kéo dài trong năm như carnaval biển, giải thể thao bãi biển, chương trình dân ca ví, giặm và lễ hội ẩm thực Bắc Trung Bộ.",bien-tap,
festival-hoa-da-lat,Festival Hoa Đà Lạt,11th Da Lat Flower Festival 2026,theo-nam,,,khong,khac,major,0,0,"2026: 2026-12-19 đến 2026-12-31, chính lễ 2026-12-19, https://thanhnien.vn/festival-hoa-da-lat-2026-sac-hoa-hoa-cung-am-nhac-va-cong-nghe-185260616162033587.htm","Chủ đề ""Đà Lạt, bản giao hòa của sắc hoa và âm nhạc"", tổ chức trên phạm vi toàn tỉnh Lâm Đồng, hoạt động trọng tâm cuối tháng 12, một số chương trình hưởng ứng kéo sang đầu tháng 1/2027.",bien-tap,
festival-quoc-te-cong-chieng-gia-lai,Festival quốc tế Cồng chiêng Gia Lai,Gia Lai International Gong Festival 2026,theo-nam,,,khong,khac,major,0,0,"2026: 2026-10-30 đến 2026-11-08, chính lễ 2026-11-07, https://www.vietnamplus.vn/gia-lai-sap-to-chuc-festival-quoc-te-cong-chieng-nam-2026-post1131212.vnp","Sự kiện trọng điểm của Năm Du lịch quốc gia Gia Lai 2026, khoảng 45 đội cồng chiêng trong và ngoài nước, kỷ niệm 21 năm UNESCO ghi danh Không gian văn hóa Cồng chiêng Tây Nguyên; có lễ hội đường phố ngày 6/11.",bien-tap,
festival-thu-ha-noi,Festival Thu Hà Nội,Hanoi Autumn Festival,theo-nam,,,khong,khac,minor,0,0,"2026: 2026-10-16 đến 2026-10-18, chính lễ 2026-10-16, https://nhandan.vn/dieu-chinh-thoi-gian-to-chuc-festival-thu-ha-noi-2026-post990809.html","Festival mùa thu của Hà Nội với biểu diễn nghệ thuật, không gian văn hóa và ẩm thực.",bien-tap,
festival-tra-quoc-te-thai-nguyen,Festival Trà quốc tế Thái Nguyên,Thai Nguyen International Tea Festival 2026,theo-nam,,,khong,khac,major,0,0,"2026: 2026-10-30 đến 2026-11-07, chính lễ 2026-10-30, https://daibieunhandan.vn/thai-nguyen-san-sang-cho-festival-tra-quoc-te-2026-10427227.html","Festival chủ đề ""Thái Nguyên, Đệ nhất danh trà"" với phố trà, diễn đàn trà quốc tế và cuộc thi Vietnam Master Tea, tôn vinh vùng chè Tân Cương và văn hóa trà.",bien-tap,
gio-to-hung-vuong,Giỗ Tổ Hùng Vương,Hùng Kings' Commemoration Day,lunar,10/3,,co,le-tet,major,0,0,,"Ngày giỗ tổ, tưởng nhớ các Vua Hùng có công dựng nước, quốc lễ của Việt Nam.",bien-tap,
hoi-den-va,Hội Thu đền Và,Và Temple Autumn Festival,lunar,15/9,,khong,tin-nguong,minor,1,0,,"Hội mùa Thu đền Và thờ Tản Viên Sơn Thánh, diễn ra 14 và 15 tháng Chín âm lịch, có lễ đả ngư (đánh cá dâng Thánh).",bien-tap,
hoi-dua-bo-bay-nui,Hội đua bò Bảy Núi,Bay Nui Ox Racing Festival,theo-nam,,,khong,tin-nguong,minor,0,0,"2026: 2026-10-10 đến 2026-10-10, chính lễ 2026-10-10, https://ancu.angiang.gov.vn/giang-chuc-hoi-dua-bo-bay-nui-tranh-cup-truyen-hinh-giang-atv-lan-thu-31-nam-2026","Hội đua bò của người Khmer vùng Bảy Núi gắn với lễ Sene Dolta; giải truyền thống Chùa Rô năm 2026 đã diễn ra 13/9 với 32 đôi bò, giải ATV lần thứ 31 dự kiến ngày 10/10.",bien-tap,
hoi-giong-den-phu-dong,Hội Gióng đền Phù Đổng,Gióng Festival at Phù Đổng Temple,lunar,9/4,,khong,tin-nguong,minor,2,0,,"Hội Gióng ở quê nhà Thánh Gióng, diễn ra 7 tới 9 tháng Tư âm lịch, chính hội ngày 9. Hội Gióng được UNESCO ghi danh Di sản văn hóa phi vật thể đại diện của nhân loại năm 2010.",bien-tap,
