id,chat,so,ten,ten_en,tu_khoa,nghia_xuoi,nghia_nguoc,nguon,ghi_chu
wands-ace,wands,1,Át Gậy,Ace of Wands,khởi đầu; đam mê; cảm hứng,"Khởi đầu đầy nhiệt huyết, một ý tưởng hay đam mê mới bùng cháy.","Cảm hứng chững lại, trì hoãn hoặc thiếu động lực bắt đầu.",Rider-Waite-Smith,
wands-02,wands,2,Hai Gậy,Two of Wands,hoạch định; tầm nhìn; lựa chọn,"Đứng trước ngã rẽ lớn, lên kế hoạch dài hạn cho tương lai.","Do dự trước quyết định, sợ bước ra khỏi vùng an toàn.",Rider-Waite-Smith,
wands-03,wands,3,Ba Gậy,Three of Wands,mở rộng; tầm nhìn xa; kiên nhẫn,"Mở rộng tầm nhìn, chờ đợi thành quả từ những bước đầu đã gieo.",Trở ngại bất ngờ làm chậm kế hoạch mở rộng.,Rider-Waite-Smith,
wands-04,wands,4,Bốn Gậy,Four of Wands,ăn mừng; ổn định; cột mốc,"Ăn mừng một cột mốc, cảm giác ổn định và được chào đón.",Bất ổn tạm thời trong gia đình hoặc nền tảng chưa vững.,Rider-Waite-Smith,
wands-05,wands,5,Năm Gậy,Five of Wands,cạnh tranh; va chạm; thử thách,"Va chạm quan điểm, cạnh tranh lành mạnh để khẳng định bản thân.","Xung đột kéo dài không lối thoát, tranh cãi vô nghĩa.",Rider-Waite-Smith,
wands-06,wands,6,Sáu Gậy,Six of Wands,chiến thắng; công nhận; tự tin,"Chiến thắng được công nhận, tự tin sau nỗ lực bền bỉ.","Thành quả chưa được ghi nhận, tự tin lung lay.",Rider-Waite-Smith,
wands-07,wands,7,Bảy Gậy,Seven of Wands,bảo vệ; kiên định; áp lực,Kiên định bảo vệ lập trường trước áp lực hoặc cạnh tranh.,"Kiệt sức vì phải phòng thủ liên tục, dễ buông xuôi.",Rider-Waite-Smith,
wands-08,wands,8,Tám Gậy,Eight of Wands,tốc độ; tiến triển; tin tức,"Mọi việc tăng tốc, tin tức hoặc kết quả đến rất nhanh.","Trì hoãn bất ngờ, mọi thứ chậm lại ngoài ý muốn.",Rider-Waite-Smith,
wands-09,wands,9,Chín Gậy,Nine of Wands,kiên cường; cảnh giác; bền bỉ,"Kiên cường bám trụ dù đã thấm mệt, gần đạt được mục tiêu.","Cảnh giác quá mức, nghi ngờ không cần thiết, kiệt sức tinh thần.",Rider-Waite-Smith,
wands-10,wands,10,Mười Gậy,Ten of Wands,gánh nặng; trách nhiệm; quá tải,Gánh trên vai trách nhiệm nặng nề nhưng đích đến đã gần.,"Quá tải vì ôm đồm, cần học cách san sẻ.",Rider-Waite-Smith,
wands-page,wands,11,Cận Vệ Gậy,Page of Wands,nhiệt huyết; khám phá; tin tức mới,"Nhiệt huyết tuổi trẻ, háo hức khám phá điều mới mẻ.","Thiếu kiên nhẫn, ý tưởng nửa vời chưa được thực hiện.",Rider-Waite-Smith,
wands-knight,wands,12,Hiệp Sĩ Gậy,Knight of Wands,táo bạo; phiêu lưu; hành động,"Hành động táo bạo, lao vào cuộc phiêu lưu mới đầy nhiệt huyết.","Bốc đồng thiếu suy nghĩ, hành động vội vàng gây rủi ro.",Rider-Waite-Smith,
wands-queen,wands,13,Nữ Hoàng Gậy,Queen of Wands,tự tin; độc lập; quyến rũ,"Tự tin, ấm áp, độc lập và truyền cảm hứng cho người xung quanh.","Ghen tị hoặc thiếu tự tin, năng lượng trở nên gay gắt.",Rider-Waite-Smith,
wands-king,wands,14,Vua Gậy,King of Wands,lãnh đạo; tầm nhìn; táo bạo,"Tầm nhìn lãnh đạo táo bạo, dám nghĩ dám làm và truyền lửa cho người khác.","Độc đoán, nóng nảy, áp đặt ý chí lên người khác.",Rider-Waite-Smith,
cups-ace,cups,1,Át Cốc,Ace of Cups,cảm xúc mới; tình yêu; trực giác,"Khởi đầu cảm xúc mới, trái tim rộng mở đón nhận tình yêu.","Cảm xúc bị kìm nén, khó mở lòng hoặc thất vọng trong tình cảm.",Rider-Waite-Smith,
cups-02,cups,2,Hai Cốc,Two of Cups,kết nối; hài hoà; gắn bó,"Kết nối hài hoà, một mối quan hệ cân bằng và tôn trọng lẫn nhau.","Mất cân bằng trong mối quan hệ, hiểu lầm chưa được giải toả.",Rider-Waite-Smith,
cups-03,cups,3,Ba Cốc,Three of Cups,sum vầy; tình bạn; niềm vui,"Niềm vui sum vầy, tình bạn và những dịp ăn mừng cùng nhau.",Buôn chuyện thị phi hoặc tiệc tùng thái quá làm sao nhãng.,Rider-Waite-Smith,
cups-04,cups,4,Bốn Cốc,Four of Cups,thờ ơ; chán nản; bỏ lỡ,Thờ ơ trước cơ hội mới vì mải chìm trong suy nghĩ.,"Bắt đầu tỉnh thức, sẵn sàng đón nhận cơ hội đã bỏ lỡ.",Rider-Waite-Smith,
cups-05,cups,5,Năm Cốc,Five of Cups,tiếc nuối; mất mát; hối tiếc,"Tiếc nuối vì mất mát, mải nhìn về điều đã qua.","Bắt đầu buông bỏ tiếc nuối, học cách tha thứ và bước tiếp.",Rider-Waite-Smith,
cups-06,cups,6,Sáu Cốc,Six of Cups,hoài niệm; ký ức; ngây thơ,"Hoài niệm ngọt ngào, kết nối lại với ký ức hoặc người xưa.","Mắc kẹt trong quá khứ, ngại đối diện hiện tại.",Rider-Waite-Smith,
