id,loai_thuoc,ten_thuoc,chu_ky_mm,dung_de,thu_tu_cung,cung,cung_han,tot_xau,tu_mm,den_mm,y_nghia,cung_nho,nguon,ghi_chu
THONG_THUY-01,THONG_THUY,"Thước thông thủy 52,2cm",522,"Đo khoảng rỗng: lòng cửa đi, cửa sổ, ô thoáng, giếng trời.",1,Quý Nhân,貴人,tot,0,65.25,"Được người giúp đỡ, gặp quý nhân phù trợ.",Quyền lộc; Trung tín; Tác quan; Phát đạt; Thông minh,Lỗ Ban Kinh,
THONG_THUY-02,THONG_THUY,"Thước thông thủy 52,2cm",522,"Đo khoảng rỗng: lòng cửa đi, cửa sổ, ô thoáng, giếng trời.",2,Hiểm Họa,險禍,xau,65.25,130.5,"Cung xấu, dân gian gắn với tai ương bất ngờ.",Tán thành; Thời nhân; Thất hiếu; Tai họa; Trường bệnh,Lỗ Ban Kinh,
THONG_THUY-03,THONG_THUY,"Thước thông thủy 52,2cm",522,"Đo khoảng rỗng: lòng cửa đi, cửa sổ, ô thoáng, giếng trời.",3,Thiên Tai,天災,xau,130.5,195.75,"Cung xấu, gắn với bệnh tật và mất mát.",Hoàn tử; Quan tài; Thân bệnh; Thất tài; Cô quả,Lỗ Ban Kinh,
THONG_THUY-04,THONG_THUY,"Thước thông thủy 52,2cm",522,"Đo khoảng rỗng: lòng cửa đi, cửa sổ, ô thoáng, giếng trời.",4,Thiên Tài,天財,tot,195.75,261,"Cung tốt, gắn với tài lộc và học vấn.",Thi thơ; Văn học; Thanh quý; Tác lộc; Thiên lộc,Lỗ Ban Kinh,
THONG_THUY-05,THONG_THUY,"Thước thông thủy 52,2cm",522,"Đo khoảng rỗng: lòng cửa đi, cửa sổ, ô thoáng, giếng trời.",5,Phúc Lộc,福祿,tot,261,326.25,"Cung tốt, gắn với phúc phần và con cháu.",Tử tôn; Phú quý; Tấn bửu; Thập thiện; Văn chương,Lỗ Ban Kinh,
THONG_THUY-06,THONG_THUY,"Thước thông thủy 52,2cm",522,"Đo khoảng rỗng: lòng cửa đi, cửa sổ, ô thoáng, giếng trời.",6,Cô Độc,孤獨,xau,326.25,391.5,"Cung xấu, gắn với ly tán, lẻ loi.",Bạc nghịch; Vô vọng; Ly tán; Tửu thực; Dâm dục,Lỗ Ban Kinh,
THONG_THUY-07,THONG_THUY,"Thước thông thủy 52,2cm",522,"Đo khoảng rỗng: lòng cửa đi, cửa sổ, ô thoáng, giếng trời.",7,Thiên Tặc,天賊,xau,391.5,456.75,"Cung xấu, gắn với mất mát và tai họa.",Phòng bệnh; Chiêu ôn; Ôn tai; Ngục tù; Quan tài,Lỗ Ban Kinh,
THONG_THUY-08,THONG_THUY,"Thước thông thủy 52,2cm",522,"Đo khoảng rỗng: lòng cửa đi, cửa sổ, ô thoáng, giếng trời.",8,Tể Tướng,宰相,tot,456.75,522,"Cung tốt, gắn với công danh và hiếu thuận.",Đại tài; Thi thơ; Hoạnh tài; Hiếu tử; Quý nhân,Lỗ Ban Kinh,
DUONG_TRACH-01,DUONG_TRACH,"Thước dương trạch 42,9cm",429,"Đo khối đặc: bệ, móng, giường, tủ, bàn, bậc.",1,Tài,財,tot,0,53.625,"Cung tốt, gắn với tiền của.",Tài đức; Bảo khố; Lục hợp; Nghênh phúc,Lỗ Ban Kinh,
DUONG_TRACH-02,DUONG_TRACH,"Thước dương trạch 42,9cm",429,"Đo khối đặc: bệ, móng, giường, tủ, bàn, bậc.",2,Bệnh,病,xau,53.625,107.25,"Cung xấu, gắn với ốm đau, kiện tụng.",Thoát tài; Công sự; Lao chấp; Cô quả,Lỗ Ban Kinh,
DUONG_TRACH-03,DUONG_TRACH,"Thước dương trạch 42,9cm",429,"Đo khối đặc: bệ, móng, giường, tủ, bàn, bậc.",3,Ly,離,xau,107.25,160.875,"Cung xấu, gắn với chia lìa, thất thoát.",Trưởng khố; Kiếp tài; Quan quỷ; Thất thoát,Lỗ Ban Kinh,
DUONG_TRACH-04,DUONG_TRACH,"Thước dương trạch 42,9cm",429,"Đo khối đặc: bệ, móng, giường, tủ, bàn, bậc.",4,Nghĩa,義,tot,160.875,214.5,"Cung tốt, gắn với đạo nghĩa và con cái.",Thêm đinh; Ích lợi; Quý tử; Đại cát,Lỗ Ban Kinh,
DUONG_TRACH-05,DUONG_TRACH,"Thước dương trạch 42,9cm",429,"Đo khối đặc: bệ, móng, giường, tủ, bàn, bậc.",5,Quan,官,tot,214.5,268.125,"Cung tốt, gắn với công danh.",Thuận khoa; Hoạnh tài; Tiến ích; Phú quý,Lỗ Ban Kinh,
DUONG_TRACH-06,DUONG_TRACH,"Thước dương trạch 42,9cm",429,"Đo khối đặc: bệ, móng, giường, tủ, bàn, bậc.",6,Kiếp,劫,xau,268.125,321.75,"Cung xấu, gắn với mất mát, xa cách.",Tử biệt; Thoái khẩu; Ly hương; Tài thất,Lỗ Ban Kinh,
DUONG_TRACH-07,DUONG_TRACH,"Thước dương trạch 42,9cm",429,"Đo khối đặc: bệ, móng, giường, tủ, bàn, bậc.",7,Hại,害,xau,321.75,375.375,"Cung xấu, gắn với tai họa, thị phi.",Tai chí; Tử tuyệt; Bệnh lâm; Khẩu thiệt,Lỗ Ban Kinh,
DUONG_TRACH-08,DUONG_TRACH,"Thước dương trạch 42,9cm",429,"Đo khối đặc: bệ, móng, giường, tủ, bàn, bậc.",8,Bản,本,tot,375.375,429,"Cung tốt, gắn với gốc rễ và hưng vượng.",Tài chí; Đăng khoa; Tiến bảo; Hưng vượng,Lỗ Ban Kinh,
AM_PHAN-01,AM_PHAN,"Thước âm phần 38,8cm",388,"Đo bàn thờ, mộ phần, đồ thờ.",1,Đinh,丁,tot,0,38.8,"Cung tốt, gắn với đinh nam, con cháu.",,Lỗ Ban Kinh,
AM_PHAN-02,AM_PHAN,"Thước âm phần 38,8cm",388,"Đo bàn thờ, mộ phần, đồ thờ.",2,Hại,害,xau,38.8,77.6,Cung xấu.,,Lỗ Ban Kinh,
AM_PHAN-03,AM_PHAN,"Thước âm phần 38,8cm",388,"Đo bàn thờ, mộ phần, đồ thờ.",3,Vượng,旺,tot,77.6,116.39999999999999,"Cung tốt, gắn với hưng thịnh.",,Lỗ Ban Kinh,
AM_PHAN-04,AM_PHAN,"Thước âm phần 38,8cm",388,"Đo bàn thờ, mộ phần, đồ thờ.",4,Khổ,苦,xau,116.39999999999999,155.2,Cung xấu.,,Lỗ Ban Kinh,
AM_PHAN-05,AM_PHAN,"Thước âm phần 38,8cm",388,"Đo bàn thờ, mộ phần, đồ thờ.",5,Nghĩa,義,tot,155.2,194,"Cung tốt, gắn với đạo nghĩa.",,Lỗ Ban Kinh,
AM_PHAN-06,AM_PHAN,"Thước âm phần 38,8cm",388,"Đo bàn thờ, mộ phần, đồ thờ.",6,Quan,官,tot,194,232.79999999999998,"Cung tốt, gắn với công danh.",,Lỗ Ban Kinh,
AM_PHAN-07,AM_PHAN,"Thước âm phần 38,8cm",388,"Đo bàn thờ, mộ phần, đồ thờ.",7,Tử,死,xau,232.79999999999998,271.59999999999997,Cung xấu.,,Lỗ Ban Kinh,
AM_PHAN-08,AM_PHAN,"Thước âm phần 38,8cm",388,"Đo bàn thờ, mộ phần, đồ thờ.",8,Hưng,興,tot,271.59999999999997,310.4,"Cung tốt, gắn với hưng khởi.",,Lỗ Ban Kinh,
AM_PHAN-09,AM_PHAN,"Thước âm phần 38,8cm",388,"Đo bàn thờ, mộ phần, đồ thờ.",9,Thất,失,xau,310.4,349.2,Cung xấu.,,Lỗ Ban Kinh,
AM_PHAN-10,AM_PHAN,"Thước âm phần 38,8cm",388,"Đo bàn thờ, mộ phần, đồ thờ.",10,Tài,財,tot,349.2,388,"Cung tốt, gắn với tiền của.",,Lỗ Ban Kinh,
