id,so,ten,ten_en,ten_han,que_thuong,que_ha,hao,tuong,nguon,ghi_chu
1,1,Thuần Càn,The Creative,乾,Càn,Càn,111111,"Trời vận hành mạnh mẽ, không lúc nào ngưng nghỉ.",Chu Dịch,
2,2,Thuần Khôn,The Receptive,坤,Khôn,Khôn,000000,"Đất dày và rộng, chở mang muôn vật.",Chu Dịch,
3,3,Thủy Lôi Truân,Difficulty at the Beginning,屯,Khảm,Chấn,100010,"Mây trên sấm dưới, vạn vật mới sinh còn vướng mắc.",Chu Dịch,
4,4,Sơn Thủy Mông,Youthful Folly,蒙,Cấn,Khảm,010001,"Suối chảy dưới chân núi, dòng nước chưa biết về đâu.",Chu Dịch,
5,5,Thủy Thiên Nhu,Waiting,需,Khảm,Càn,111010,"Mây tụ trên trời, chưa tới lúc thành mưa.",Chu Dịch,
6,6,Thiên Thủy Tụng,Conflict,訟,Càn,Khảm,010111,"Trời đi lên, nước chảy xuống, hai bên ngược đường.",Chu Dịch,
7,7,Địa Thủy Sư,The Army,師,Khôn,Khảm,010000,"Nước tụ trong lòng đất, tượng cho đám đông.",Chu Dịch,
8,8,Thủy Địa Tỷ,Holding Together,比,Khảm,Khôn,000010,"Nước trên mặt đất, thấm vào nhau mà liền một dải.",Chu Dịch,
9,9,Phong Thiên Tiểu Súc,The Taming Power of the Small,小畜,Tốn,Càn,111011,"Gió đi trên trời, mây dày mà chưa mưa.",Chu Dịch,
10,10,Thiên Trạch Lý,Treading,履,Càn,Đoài,110111,"Trên trời dưới đầm, đi qua chỗ cần giữ ý.",Chu Dịch,
11,11,Địa Thiên Thái,Peace,泰,Khôn,Càn,111000,"Trời đất giao nhau, khí thông suốt.",Chu Dịch,
12,12,Thiên Địa Bĩ,Standstill,否,Càn,Khôn,000111,"Trời đất không giao, khí bế tắc.",Chu Dịch,
13,13,Thiên Hỏa Đồng Nhân,Fellowship with Others,同人,Càn,Ly,101111,"Lửa sáng dưới trời, soi chung một khoảng.",Chu Dịch,
14,14,Hỏa Thiên Đại Hữu,Possession in Great Measure,大有,Ly,Càn,111101,"Lửa ở trên trời, chiếu khắp bốn phương.",Chu Dịch,
15,15,Địa Sơn Khiêm,Modesty,謙,Khôn,Cấn,001000,"Núi nằm trong lòng đất, cao mà không phô ra.",Chu Dịch,
16,16,Lôi Địa Dự,Enthusiasm,豫,Chấn,Khôn,000100,"Sấm dậy trên đất, khí động mà lòng người hưởng ứng.",Chu Dịch,
17,17,Trạch Lôi Tùy,Following,隨,Đoài,Chấn,100110,"Sấm ẩn trong đầm, động mà vẫn thuận theo.",Chu Dịch,
18,18,Sơn Phong Cổ,Work on What Has Been Spoiled,蠱,Cấn,Tốn,011001,"Gió dừng dưới núi, vật để lâu sinh mối.",Chu Dịch,
19,19,Địa Trạch Lâm,Approach,臨,Khôn,Đoài,110000,"Đất ở trên đầm, bờ kề sát mặt nước.",Chu Dịch,
20,20,Phong Địa Quán,Contemplation,觀,Tốn,Khôn,000011,"Gió đi trên đất, khắp nơi đều chạm tới.",Chu Dịch,
21,21,Hỏa Lôi Phệ Hạp,Biting Through,噬嗑,Ly,Chấn,100101,"Sấm chớp cùng phát, cắn vỡ vật cản giữa hàm.",Chu Dịch,
22,22,Sơn Hỏa Bí,Grace,賁,Cấn,Ly,101001,"Lửa soi dưới chân núi, cảnh vật hiện rõ đường nét.",Chu Dịch,
23,23,Sơn Địa Bác,Splitting Apart,剝,Cấn,Khôn,000001,"Núi bám trên đất, phần dưới đang lở dần.",Chu Dịch,
24,24,Địa Lôi Phục,Return,復,Khôn,Chấn,100000,"Sấm nằm trong lòng đất, một hào dương vừa trở lại.",Chu Dịch,
25,25,Thiên Lôi Vô Vọng,Innocence,無妄,Càn,Chấn,100111,"Sấm đi dưới trời, vạn vật theo lẽ tự nhiên.",Chu Dịch,
